frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
3163.2902,6.1035,14.5926,6.1035,14.5926
3175.0061,6.1110,14.3247,6.1110,14.3247
3186.7220,6.1175,14.0685,6.1175,14.0685
3198.4379,6.1230,13.8225,6.1230,13.8225
3210.1538,6.1275,13.5861,6.1275,13.5861
3221.8697,6.1319,13.3592,6.1319,13.3592
3233.5856,6.1356,13.1453,6.1356,13.1453
3245.3014,6.1391,12.9376,6.1391,12.9376
3257.0173,6.1425,12.7428,6.1425,12.7428
3268.7332,6.1461,12.5587,6.1461,12.5587
3280.4491,6.1498,12.3835,6.1498,12.3835
3292.1650,6.1543,12.2203,6.1543,12.2203
3303.8809,6.1595,12.0681,6.1595,12.0681
3315.5968,6.1668,11.9277,6.1668,11.9277
3327.3127,6.1755,11.7989,6.1755,11.7989
3339.0286,6.1869,11.6744,6.1869,11.6744
3350.7444,6.2019,11.5574,6.2019,11.5574
3362.4603,6.2209,11.4358,6.2209,11.4358
3374.1762,6.2444,11.3045,6.2444,11.3045
3385.8921,6.2721,11.1465,6.2721,11.1465
3397.6080,6.3028,10.9503,6.3028,10.9503
3409.3239,6.3341,10.7085,6.3341,10.7085
3421.0398,6.3633,10.4208,6.3633,10.4208
3432.7557,6.3876,10.0959,6.3876,10.0959
3444.4716,6.4059,9.7522,6.4059,9.7522
3456.1875,6.4180,9.4017,6.4180,9.4017
3467.9033,6.4254,9.0589,6.4254,9.0589
3479.6192,6.4288,8.7280,6.4288,8.7280
3491.3351,6.4299,8.4159,6.4299,8.4159
3503.0510,6.4292,8.1174,6.4292,8.1174
3514.7669,6.4277,7.8303,6.4277,7.8303
3526.4828,6.4262,7.5534,6.4262,7.5534
3538.1987,6.4238,7.2837,6.4238,7.2837
3549.9146,6.4219,7.0177,6.4219,7.0177
3561.6305,6.4195,6.7574,6.4195,6.7574
3573.3464,6.4173,6.4969,6.4173,6.4969
3585.0622,6.4146,6.2388,6.4146,6.2388
3596.7781,6.4121,5.9787,6.4121,5.9787
3608.4940,6.4095,5.7201,6.4095,5.7201
3620.2099,6.4065,5.4531,6.4065,5.4531
3631.9258,6.4033,5.1823,6.4033,5.1823
3643.6417,6.3990,4.9013,6.3990,4.9013
3655.3576,6.3939,4.6098,6.3939,4.6098
3667.0735,6.3861,4.3069,6.3861,4.3069
3678.7894,6.3750,3.9934,6.3750,3.9934
3690.5052,6.3595,3.6738,6.3595,3.6738
3702.2211,6.3387,3.3608,6.3387,3.3608
3713.9370,6.3119,3.0648,6.3119,3.0648
3725.6529,6.2804,2.7995,6.2804,2.7995
3737.3688,6.2461,2.5771,6.2461,2.5771
3749.0847,6.2108,2.3999,6.2108,2.3999
3760.8006,6.1774,2.2646,6.1774,2.2646
3772.5165,6.1470,2.1642,6.1470,2.1642
3784.2324,6.1204,2.0839,6.1204,2.0839
